,Track_duration,Popularity,Danceability,Energy,Key,Loudness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Year
238,144866,55,0.667,0.412,1,-7.544,0.817,0.0,0.107,0.82,83.816,1999
239,195373,34,0.866,0.762,2,-9.256,0.0712,0.000116,0.148,0.662,88.972,1981
240,217133,54,0.818,0.713,9,-4.813,0.126,3.2e-05,0.0382,0.937,137.969,2009
241,384306,71,0.545,0.485,9,-8.045,0.537,1.8e-06,0.104,0.101,80.948,1991
242,163603,81,0.4,0.641,8,-6.303,0.214,0.0,0.0656,0.393,81.552,2022
243,250066,0,0.895,0.795,2,-4.693,0.0219,0.0,0.0403,0.574,105.004,2004
244,287906,76,0.514,0.898,11,-6.765,0.00488,0.0345,0.0746,0.353,123.067,2005
245,212600,0,0.789,0.634,7,-4.762,0.0348,1.64e-06,0.302,0.658,116.992,2014
246,294933,0,0.649,0.82,5,-8.841,0.0471,0.0,0.0816,0.702,144.226,1985
247,239876,0,0.653,0.806,2,-4.842,0.00398,0.00455,0.0927,0.386,125.641,2020
248,187173,64,0.674,0.686,2,-11.927,0.29,0.00322,0.189,0.814,124.204,1972
249,171266,30,0.667,0.621,7,-5.229,9.31e-05,4.33e-05,0.0572,0.492,111.996,2007
250,212626,46,0.446,0.489,11,-10.26,0.272,0.0,0.16,0.396,137.829,2003
251,198613,0,0.608,0.751,7,-7.832,0.0779,0.00143,0.321,0.59,124.028,2008
252,160080,3,0.483,0.321,11,-12.302,0.845,1.58e-05,0.348,0.404,107.728,2010
253,163346,55,0.393,0.362,7,-14.601,0.599,0.0,0.333,0.515,107.743,1967
254,332333,65,0.527,0.429,8,-12.431,0.655,0.0,0.0865,0.277,97.893,1988
255,202386,72,0.415,0.713,5,-5.55,0.251,0.00197,0.289,0.579,125.056,1975
256,293105,60,0.765,0.831,7,-6.522,0.0894,0.0,0.393,0.809,100.026,1992
257,221066,0,0.573,0.941,6,-3.46,0.0013,4.06e-05,0.18,0.864,135.017,2009
258,175493,0,0.767,0.756,7,-4.788,0.0643,7.88e-06,0.256,0.934,113.906,2000
259,174424,45,0.502,0.765,0,-3.672,0.0138,0.0,0.515,0.805,162.097,2020
260,193000,57,0.607,0.878,4,-4.422,0.000246,0.0,0.337,0.853,119.955,2004
261,279506,69,0.797,0.608,6,-6.096,0.00112,7.66e-05,0.0748,0.402,127.999,2013
262,214400,51,0.553,0.946,7,-4.249,0.00106,0.000655,0.368,0.458,135.977,2001
263,217333,0,0.745,0.72,7,-9.889,0.0877,0.874,0.117,0.919,144.982,1997
264,141120,40,0.604,0.105,2,-16.78,0.977,0.0,0.0993,0.553,92.238,2013
265,340173,60,0.559,0.504,7,-9.455,0.106,0.0,0.13,0.479,89.051,1996
266,209253,45,0.689,0.811,7,-4.708,0.00288,0.0,0.207,0.47,123.008,2009
267,250000,52,0.33,0.494,0,-7.16,0.147,4.94e-06,0.137,0.143,98.478,1977
268,169353,90,0.652,0.557,1,-5.714,0.74,0.0,0.124,0.483,150.073,2018
269,203453,62,0.671,0.539,7,-6.08,0.18,0.0,0.0748,0.934,94.98,2016
270,244426,33,0.223,0.0497,3,-16.37,0.967,0.000258,0.222,0.1,86.659,2001
271,185626,27,0.645,0.379,10,-8.877,0.81,1.76e-06,0.124,0.278,130.836,2015
272,236386,30,0.666,0.919,4,-3.031,0.00164,0.00042,0.106,0.528,115.051,2012
273,164960,44,0.43,0.685,11,-5.907,0.1,0.0,0.119,0.308,84.838,2021
274,139506,6,0.5,0.593,9,-10.111,0.689,0.0368,0.06,0.475,138.245,2003
275,267293,66,0.482,0.808,0,-7.176,0.0562,0.0,0.202,0.438,79.599,1995
276,220734,83,0.635,0.841,5,-5.379,0.0134,0.0,0.0622,0.424,109.021,2010
277,206413,85,0.707,0.924,7,-2.842,0.000972,0.00703,0.204,0.919,127.937,2012
278,199720,8,0.52,0.448,2,-5.998,0.21,0.0,0.0719,0.663,113.472,2015
279,164234,32,0.462,0.277,9,-11.399,0.749,7.56e-06,0.409,0.388,131.001,2000
280,175173,81,0.535,0.716,4,-5.025,0.326,0.0,0.659,0.901,94.379,1981
281,209133,30,0.633,0.748,7,-9.689,0.172,0.0,0.38,0.497,142.575,1985
282,346386,0,0.429,0.793,2,-3.932,0.0693,0.0,0.108,0.24,72.985,2010
283,206746,22,0.594,0.878,8,-3.021,0.064,5.18e-05,0.184,0.774,127.945,2013
284,230000,10,0.564,0.983,11,-5.737,0.013,0.00661,0.344,0.418,144.985,2016
285,250866,0,0.581,0.514,0,-10.812,0.31,0.00701,0.376,0.69,89.026,1985
286,213133,45,0.611,0.638,9,-5.086,0.431,0.0,0.104,0.424,169.92,2008
287,348333,0,0.612,0.675,9,-15.995,0.0234,1e-05,0.0471,0.883,150.058,1984
288,171373,65,0.653,0.239,5,-18.54,0.806,0.0146,0.132,0.765,80.392,1987
289,270720,58,0.591,0.808,9,-5.943,0.0869,0.00396,0.147,0.337,92.864,2012
290,353320,60,0.377,0.658,4,-5.589,0.117,0.0,0.0677,0.307,143.713,1994
291,210173,5,0.606,0.826,0,-6.04,0.0256,1.56e-05,0.117,0.322,121.04,2013
292,215840,0,0.376,0.199,0,-16.679,0.535,0.0,0.598,0.247,98.97,1990
